id,Copies,title,card_type,cost,slot,durability,effect
raider-crew-001,1,Mara Kickstart Venn,Crew,3,Crew,,"Exhaust: gain 1 movement. If you spent scrap as fuel this turn, gain +1 movement."
raider-crew-002,1,Clank the Wrench,Crew,2,Crew,,"Exhaust: repair 1 durability on a part, or install a part for 1 less scrap."
raider-crew-003,1,Skiv Scrap Leech,Crew,2,Crew,,"Exhaust after you damage an enemy part: steal 1 scrap from that player."
raider-crew-004,1,Boss Rattlejaw,Crew,4,Crew,,"Once each turn after you destroy an enemy part: gain 2 scrap."
raider-part-001,1,Spiked Cowcatcher,Part,3,Front,3,"When you move into or through an adjacent enemy position, deal 1 damage to their Front part."
raider-part-002,1,Chain Snagger,Part,2,Rear,2,"When an enemy behind you moves adjacent, they lose 1 scrap or deal 1 damage to this part."
raider-part-003,1,Left-Side Scrap Plates,Part,2,Left,3,"The first time each round your Left side would take damage, reduce it by 1."
raider-part-004,1,Right-Side Boarding Hooks,Part,3,Right,2,"Exhaust a crew: deal 1 damage to an adjacent enemy side part. If it survives, gain 1 scrap."
raider-part-005,1,Overfed Burner,Part,4,Engine,3,"The first scrap you spend as fuel each round gives +2 movement instead of +1."
raider-part-006,1,Rivet Spitter,Part,3,Weapon,2,"Attack range 1-2: deal 1 damage to a part facing you. If that part is already damaged, deal +1 damage."
